frame_number,avg_ear,pitch,yaw,status,face_detected
389,0.2115,-0.73,2.5,DROWSY,True
390,0.2151,-3.07,6.28,DROWSY,True
391,0.2201,-2.87,4.75,ALERTT,True
392,0.219,-2.71,4.01,DROWSY,True
393,0.2113,-2.1,5.71,DROWSY,True
394,0.2086,-1.95,6.21,DROWSY,True
395,0.2078,-2.03,7.73,DROWSY,True
396,0.2159,-1.27,7.85,DROWSY,True
397,0.2192,-1.48,7.37,DROWSY,True
398,0.2312,-1.1,6.92,ALERTT,True
399,0.2397,-0.71,6.42,ALERTT,True
400,0.2567,-0.3,7.29,ALERTT,True
401,0.2598,-0.43,7.48,ALERTT,True
402,0.163,-2.49,6.57,DROWSY,True
403,0.162,-1.44,8.25,DROWSY,True
404,0.203,-0.99,8.12,DROWSY,True
405,0.2265,-0.57,7.83,ALERTT,True
406,0.2268,-0.5,6.7,ALERTT,True
407,0.2263,-0.67,6.42,ALERTT,True
408,0.2241,-0.71,4.96,ALERTT,True
409,0.2268,-0.71,4.59,ALERTT,True
410,0.2282,-0.2,4.67,ALERTT,True
411,0.2309,-0.17,5.33,ALERTT,True
412,0.2259,-0.52,5.36,ALERTT,True
413,0.228,-0.29,5.32,ALERTT,True
414,0.2277,-0.07,5.06,ALERTT,True
415,0.2256,0.41,4.6,ALERTT,True
416,0.2281,0.45,5.01,ALERTT,True
417,0.2277,0.12,4.96,ALERTT,True
418,0.2279,0.56,4.82,ALERTT,True
419,0.2167,0.59,4.42,DROWSY,True
420,0.2273,1.06,3.73,ALERTT,True
421,0.2235,1.0,4.18,ALERTT,True
422,0.2287,0.97,4.91,ALERTT,True
423,0.2275,0.75,4.47,ALERTT,True
424,0.2174,1.0,4.98,DROWSY,True
425,0.2211,0.82,4.76,ALERTT,True
426,0.2219,0.94,5.94,ALERTT,True
427,0.2227,1.27,5.16,ALERTT,True
428,0.2256,1.22,6.11,ALERTT,True
429,0.2408,1.8,7.47,ALERTT,True
430,0.2368,1.9,6.36,ALERTT,True
431,0.2353,1.41,8.1,ALERTT,True
432,0.2364,1.65,7.24,ALERTT,True
433,0.1921,1.62,6.62,DROWSY,True
434,0.2008,1.72,7.24,DROWSY,True
435,0.2069,2.06,7.4,DROWSY,True
436,0.2111,1.82,6.58,DROWSY,True
437,0.2072,1.82,5.81,DROWSY,True
438,0.2129,1.9,6.3,DROWSY,True
439,0.215,1.88,6.85,DROWSY,True
440,0.2451,2.27,6.2,ALERTT,True
441,0.2461,1.81,6.22,ALERTT,True
442,0.2466,2.14,5.66,ALERTT,True
443,0.2433,2.18,6.21,ALERTT,True
444,0.2443,1.8,5.53,ALERTT,True
445,0.2477,2.13,5.52,ALERTT,True
446,0.2502,2.27,4.66,ALERTT,True
447,0.2493,1.96,5.26,ALERTT,True
448,0.2529,1.97,4.8,ALERTT,True
449,0.2492,2.13,4.27,ALERTT,True
450,0.2524,2.09,3.76,ALERTT,True
451,0.253,2.07,4.66,ALERTT,True
452,0.2542,2.22,4.72,ALERTT,True
453,0.2558,2.4,5.14,ALERTT,True
454,0.2528,2.0,4.57,ALERTT,True
455,0.251,2.16,5.01,ALERTT,True
456,0.2491,2.03,4.74,ALERTT,True
457,0.2673,2.28,4.72,ALERTT,True
458,0.2726,1.98,4.35,ALERTT,True
459,0.2717,1.94,3.8,ALERTT,True
460,0.2708,1.82,3.81,ALERTT,True
461,0.2748,1.98,3.33,ALERTT,True
462,0.2778,1.97,2.97,ALERTT,True
463,0.2753,2.11,3.62,ALERTT,True
464,0.2693,2.09,3.36,ALERTT,True
